lr,epochs,batch_size,optimizer,nb_layers,activation,pooling,MSE,SNR_dB
0.1,100,128,adam,4,relu,avg,0.05512695014476776,24.482502
0.1,100,128,adam,4,tanh,avg,0.05407760664820671,7.4071703
0.1,100,128,adam,6,relu,avg,488.70343017578125,-41.0191
0.1,100,128,adam,6,tanh,avg,0.06601158529520035,5.349594
0.1,100,256,adam,2,relu,avg,0.05501453951001167,34.124443
0.1,100,256,adam,2,tanh,avg,0.058040451258420944,2.1746955
0.1,100,256,adam,4,relu,avg,0.05506308749318123,27.615313
0.1,100,256,adam,4,tanh,avg,0.056020479649305344,6.1230965
0.1,100,256,adam,6,relu,avg,9.650174354488194e+25,-270.30603
0.1,100,256,adam,6,tanh,avg,0.05981158837676048,8.314405
